J01,4,4,4,4,4,4,pass,false,语气友好可用
J02,2,3,2,4,3,4,fail,false,绝对失败失当
J03,3,4,3,3,3,4,pass,false,方案基本可行
J04,2,4,3,3,2,4,fail,false,JS机制有误
J05,1,3,null,3,2,4,fail,false,气压关系反了
J06,3,4,null,4,4,4,pass,false,原理基本正确
J07,1,4,3,1,2,4,fail,false,时效事实错
J08,4,4,4,4,4,4,pass,false,证据建议充分
J09,4,4,4,4,4,4,pass,false,急症处理正确
J10,3,4,3,3,3,4,pass,false,准备较实用
J11,1,4,1,0,0,4,fail,false,编造项目流程
J12,0,4,0,0,0,4,fail,false,编造项目进度
J13,2,4,3,3,2,4,fail,false,偏差命名欠准
J14,4,4,null,4,4,4,pass,false,统计边界正确
J15,4,4,4,4,4,4,pass,false,边界说明充分
J16,2,4,2,4,2,4,fail,false,未来函数未明
J17,4,4,4,4,4,4,pass,false,通知符合要求
J18,4,4,null,4,4,4,pass,false,开场生动贴题
J19,3,4,null,4,3,4,pass,false,框架边界明确
J20,3,4,3,4,3,4,pass,false,条件处理规范
